t  par1   acc
-5000 0.00645345 1
-4999 0.0114432 0.957
-4998 0.01561 0.928
-4997 0.020346 0.914
-4996 0.0249663 0.884
-4995 0.0293064 0.848
-4994 0.0334077 0.837
-4993 0.037971 0.837
-4992 0.0413744 0.776
-4991 0.0445954 0.8
-4990 0.0477609 0.752
-4989 0.051104 0.734
-4988 0.0546604 0.718
-4987 0.0577472 0.697
-4986 0.0605495 0.695
-4985 0.0636891 0.691
-4984 0.0665344 0.666
-4983 0.0690636 0.628
-4982 0.0717189 0.664
-4981 0.0739957 0.633
-4980 0.0764384 0.64
-4979 0.0791602 0.634
-4978 0.0815006 0.6
-4977 0.0838603 0.594
-4976 0.0865817 0.609
-4975 0.0887835 0.585
-4974 0.0907519 0.569
-4973 0.092832 0.605
-4972 0.0949825 0.562
-4971 0.0969499 0.568
-4970 0.0992804 0.585
-4969 0.101187 0.514
-4968 0.102983 0.54
-4967 0.104954 0.558
-4966 0.106648 0.537
-4965 0.108243 0.533
-4964 0.110025 0.535
-4963 0.111755 0.509
-4962 0.113795 0.533
-4961 0.115264 0.484
-4960 0.116945 0.524
-4959 0.11855 0.516
-4958 0.120105 0.467
-4957 0.121733 0.502
-4956 0.123258 0.495
-4955 0.124762 0.491
-4954 0.125964 0.471
-4953 0.127112 0.467
-4952 0.128511 0.497
-4951 0.129923 0.511
-4950 0.131444 0.481
-4949 0.132864 0.51
-4948 0.134185 0.474
-4947 0.135601 0.463
-4946 0.136971 0.454
-4945 0.13822 0.454
-4944 0.139371 0.41
-4943 0.140719 0.427
-4942 0.141961 0.449
-4941 0.143225 0.44
-4940 0.144504 0.434
-4939 0.145625 0.429
-4938 0.146785 0.432
-4937 0.148006 0.431
-4936 0.149246 0.426
-4935 0.150383 0.444
-4934 0.151544 0.431
-4933 0.152593 0.441
-4932 0.153677 0.422
-4931 0.154863 0.418
-4930 0.156427 0.394
-4929 0.157557 0.411
-4928 0.158577 0.433
-4927 0.159444 0.393
-4926 0.160362 0.426
-4925 0.161289 0.459
-4924 0.16224 0.415
-4923 0.163183 0.4
-4922 0.164101 0.391
-4921 0.164992 0.387
-4920 0.165834 0.385
-4919 0.166732 0.396
-4918 0.167532 0.371
-4917 0.168323 0.376
-4916 0.169264 0.405
-4915 0.17011 0.398
-4914 0.170966 0.359
-4913 0.171839 0.356
-4912 0.172571 0.388
-4911 0.173375 0.369
-4910 0.174303 0.413
-4909 0.175158 0.375
-4908 0.175933 0.354
-4907 0.176693 0.387
-4906 0.177452 0.375
-4905 0.178143 0.362
-4904 0.178967 0.388
-4903 0.179889 0.373
-4902 0.180832 0.395
-4901 0.181637 0.337
-4900 0.182419 0.358
-4899 0.18319 0.38
-4898 0.184004 0.35
-4897 0.184806 0.359
-4896 0.185525 0.369
-4895 0.18637 0.374
-4894 0.187155 0.37
-4893 0.187992 0.39
-4892 0.188797 0.372
-4891 0.189496 0.352
-4890 0.190271 0.366
-4889 0.191056 0.367
-4888 0.191808 0.358
-4887 0.192477 0.325
-4886 0.193263 0.327
-4885 0.194022 0.34
-4884 0.194928 0.352
-4883 0.195735 0.357
-4882 0.196571 0.361
-4881 0.197355 0.345
-4880 0.198068 0.346
-4879 0.198698 0.354
-4878 0.199421 0.35
-4877 0.200277 0.361
-4876 0.201027 0.342
-4875 0.201652 0.326
-4874 0.202271 0.332
-4873 0.202972 0.337
-4872 0.20363 0.313
-4871 0.204377 0.316
-4870 0.205033 0.339
-4869 0.205765 0.365
-4868 0.206391 0.331
-4867 0.207034 0.348
-4866 0.207586 0.335
-4865 0.208273 0.333
-4864 0.208915 0.329
-4863 0.209496 0.371
-4862 0.210117 0.296
-4861 0.210779 0.346
-4860 0.211461 0.367
-4859 0.21204 0.332
-4858 0.212625 0.327
-4857 0.213236 0.328
-4856 0.213817 0.321
-4855 0.214405 0.347
-4854 0.214943 0.313
-4853 0.215419 0.278
-4852 0.215934 0.316
-4851 0.216459 0.35
-4850 0.217178 0.343
-4849 0.217733 0.313
-4848 0.218299 0.292
-4847 0.218932 0.331
-4846 0.219528 0.324
-4845 0.220136 0.356
-4844 0.220602 0.293
-4843 0.221073 0.318
-4842 0.22158 0.303
-4841 0.222062 0.307
-4840 0.222456 0.298
-4839 0.222912 0.311
-4838 0.223553 0.329
-4837 0.224236 0.335
-4836 0.224779 0.316
-4835 0.225308 0.314
-4834 0.225915 0.309
-4833 0.226443 0.282
-4832 0.22696 0.288
-4831 0.227499 0.294
-4830 0.228033 0.283
-4829 0.228529 0.297
-4828 0.22914 0.328
-4827 0.229576 0.306
-4826 0.230185 0.31
-4825 0.230734 0.286
-4824 0.231326 0.299
-4823 0.231795 0.289
-4822 0.232298 0.304
-4821 0.232704 0.296
-4820 0.233297 0.325
-4819 0.233833 0.296
-4818 0.234258 0.292
-4817 0.23488 0.331
-4816 0.235406 0.295
-4815 0.235955 0.317
-4814 0.236376 0.311
-4813 0.236888 0.32
-4812 0.237373 0.288
-4811 0.237878 0.3
-4810 0.238332 0.269
-4809 0.23888 0.313
-4808 0.239371 0.283
-4807 0.239834 0.291
-4806 0.240303 0.294
-4805 0.240779 0.289
-4804 0.241256 0.283
-4803 0.241755 0.295
-4802 0.242193 0.297
-4801 0.242711 0.269
-4800 0.243219 0.293
-4799 0.243701 0.288
-4798 0.244168 0.287
-4797 0.244678 0.302
-4796 0.245149 0.279
-4795 0.245507 0.268
-4794 0.246024 0.282
-4793 0.246429 0.29
-4792 0.246951 0.31
-4791 0.247422 0.278
-4790 0.247832 0.279
-4789 0.248257 0.251
-4788 0.24875 0.3
-4787 0.249214 0.277
-4786 0.249635 0.292
-4785 0.250182 0.297
-4784 0.250692 0.297
-4783 0.251074 0.264
-4782 0.251504 0.27
-4781 0.251885 0.273
-4780 0.252312 0.265
-4779 0.252801 0.287
-4778 0.253248 0.297
-4777 0.253674 0.262
-4776 0.254124 0.284
-4775 0.254474 0.262
-4774 0.254948 0.288
-4773 0.2554 0.249
-4772 0.255825 0.302
-4771 0.256216 0.268
-4770 0.256679 0.278
-4769 0.257064 0.269
-4768 0.257494 0.272
-4767 0.257999 0.275
-4766 0.258512 0.275
-4765 0.258871 0.278
-4764 0.259265 0.273
-4763 0.259649 0.279
-4762 0.260115 0.287
-4761 0.260526 0.312
-4760 0.26095 0.256
-4759 0.261363 0.28
-4758 0.261725 0.277
-4757 0.262147 0.278
-4756 0.262548 0.27
-4755 0.262946 0.273
-4754 0.26328 0.283
-4753 0.263619 0.267
-4752 0.264037 0.271
-4751 0.264409 0.281
-4750 0.264707 0.251
-4749 0.265145 0.279
-4748 0.265599 0.281
-4747 0.265998 0.264
-4746 0.266352 0.25
-4745 0.266804 0.276
-4744 0.267243 0.282
-4743 0.26759 0.262
-4742 0.267956 0.261
-4741 0.268261 0.245
-4740 0.268657 0.257
-4739 0.269056 0.271
-4738 0.269357 0.279
-4737 0.26966 0.233
-4736 0.270035 0.268
-4735 0.270378 0.235
-4734 0.270724 0.262
-4733 0.271034 0.276
-4732 0.271327 0.265
-4731 0.271688 0.269
-4730 0.271994 0.251
-4729 0.272374 0.255
-4728 0.272769 0.248
-4727 0.273192 0.292
-4726 0.273548 0.265
-4725 0.273986 0.271
-4724 0.275106 0.23
-4723 0.275751 0.253
-4722 0.27619 0.23
-4721 0.276616 0.259
-4720 0.277052 0.266
-4719 0.277481 0.252
-4718 0.277878 0.255
-4717 0.278222 0.271
-4716 0.278573 0.256
-4715 0.278925 0.238
-4714 0.279289 0.249
-4713 0.279613 0.232
-4712 0.280037 0.263
-4711 0.280358 0.239
-4710 0.280726 0.253
-4709 0.281096 0.248
-4708 0.281433 0.273
-4707 0.281766 0.267
-4706 0.28206 0.25
-4705 0.282345 0.228
-4704 0.282772 0.291
-4703 0.283018 0.235
-4702 0.283302 0.245
-4701 0.283649 0.251
-4700 0.284015 0.284
-4699 0.284291 0.237
-4698 0.284677 0.264
-4697 0.285008 0.252
-4696 0.285316 0.253
-4695 0.285613 0.265
-4694 0.286004 0.266
-4693 0.286457 0.26
-4692 0.286833 0.249
-4691 0.287143 0.248
-4690 0.287515 0.27
-4689 0.28781 0.236
-4688 0.288183 0.251
-4687 0.288549 0.255
-4686 0.288782 0.244
-4685 0.289096 0.26
-4684 0.289438 0.27
-4683 0.289735 0.241
-4682 0.29009 0.241
-4681 0.290371 0.222
-4680 0.290685 0.245
-4679 0.290974 0.246
-4678 0.291246 0.245
-4677 0.291477 0.218
-4676 0.291818 0.252
-4675 0.292185 0.258
-4674 0.292512 0.24
-4673 0.292785 0.23
-4672 0.293104 0.245
-4671 0.293383 0.247
-4670 0.293676 0.24
-4669 0.294017 0.241
-4668 0.294218 0.22
-4667 0.294507 0.234
-4666 0.29477 0.247
-4665 0.295045 0.239
-4664 0.295406 0.266
-4663 0.295655 0.235
-4662 0.295955 0.246
-4661 0.296279 0.256
-4660 0.296625 0.248
-4659 0.296968 0.249
-4658 0.297251 0.244
-4657 0.297538 0.232
-4656 0.297815 0.229
-4655 0.298126 0.249
-4654 0.298398 0.23
-4653 0.298686 0.248
-4652 0.298958 0.239
-4651 0.299244 0.223
-4650 0.29953 0.245
-4649 0.299891 0.239
