t  par1  
0 -268 
100 -474 
200 -684 
300 -1132 
400 -264 
500 -356 
600 -304 
700 -412 
800 1324 
900 1374 
1000 -82 
1100 -968 
1200 -1848 
1300 -1458 
1400 -592 
1500 -54 
1600 1214 
1700 1876 
1800 494 
1900 -732 
2000 -2082 
2100 -2020 
2200 -636 
2300 702 
2400 1596 
2500 1864 
2600 1250 
2700 920 
2800 362 
2900 -58 
3000 32 
3100 -258 
3200 -272 
3300 104 
3400 842 
3500 56 
3600 -690 
3700 -520 
3800 -570 
3900 10 
4000 -74 
4100 992 
4200 674 
4300 -130 
4400 -558 
4500 -22 
4600 -132 
4700 754 
4800 462 
4900 318 
5000 -212 
5100 -400 
5200 -384 
5300 36 
5400 128 
5500 570 
5600 -430 
5700 -318 
5800 500 
5900 870 
6000 146 
6100 -1038 
6200 -2024 
6300 -1164 
6400 -812 
6500 722 
6600 2042 
6700 2106 
6800 1106 
6900 -372 
7000 -1792 
7100 -2182 
7200 -2214 
7300 -584 
7400 638 
7500 1700 
7600 1448 
7700 570 
7800 -326 
7900 -1158 
8000 -1872 
8100 -288 
8200 22 
8300 910 
8400 868 
8500 744 
8600 404 
8700 858 
8800 266 
8900 -126 
9000 -248 
9100 -530 
9200 -12 
9300 978 
9400 102 
9500 -864 
9600 -1786 
9700 -874 
9800 -272 
9900 916 
10000 1730 
10100 1620 
10200 1118 
10300 648 
10400 56 
10500 -64 
10600 -678 
10700 -370 
10800 150 
10900 986 
11000 -110 
11100 -2300 
11200 -1880 
11300 -406 
11400 1534 
11500 2552 
11600 2364 
11700 1852 
11800 542 
11900 -1074 
12000 -2324 
12100 -2576 
12200 -1540 
12300 -1078 
12400 -506 
12500 -290 
12600 216 
12700 974 
12800 500 
12900 1108 
13000 204 
13100 -572 
13200 -866 
13300 446 
13400 746 
13500 340 
13600 -216 
13700 -446 
13800 -40 
13900 290 
14000 -472 
14100 934 
14200 656 
14300 -1088 
14400 -2022 
14500 -818 
14600 -8 
14700 1238 
14800 1556 
14900 1224 
15000 980 
15100 1422 
15200 940 
15300 798 
15400 202 
15500 -784 
15600 -352 
15700 -440 
15800 -578 
15900 -292 
16000 -390 
16100 42 
16200 262 
16300 492 
16400 746 
16500 -308 
16600 -544 
16700 -380 
16800 -6 
16900 122 
17000 -244 
17100 -100 
17200 320 
17300 -592 
17400 -44 
17500 876 
17600 734 
17700 -384 
17800 -1394 
17900 -1654 
18000 -300 
18100 272 
18200 1202 
18300 1034 
18400 112 
18500 4 
18600 426 
18700 784 
18800 -482 
18900 -1068 
19000 -1008 
19100 34 
19200 528 
19300 1226 
19400 1108 
19500 1278 
19600 1016 
19700 170 
19800 -158 
19900 -892 
20000 -1290 
20100 656 
20200 1484 
20300 2200 
20400 1460 
20500 430 
20600 -632 
20700 -1050 
20800 -1220 
20900 -274 
21000 1042 
21100 1656 
21200 1848 
21300 1112 
21400 194 
21500 -144 
21600 -218 
21700 -360 
21800 -16 
21900 332 
22000 890 
22100 -1092 
22200 -1456 
22300 0 
22400 274 
22500 1492 
22600 1800 
22700 380 
22800 -1214 
22900 -1890 
23000 -1566 
23100 -430 
23200 -162 
23300 422 
23400 598 
23500 366 
23600 656 
23700 108 
23800 -30 
23900 160 
24000 -432 
24100 -240 
24200 860 
24300 958 
24400 -584 
24500 -1480 
24600 -1812 
24700 -1008 
24800 546 
24900 1432 
25000 1402 
25100 2174 
25200 1456 
25300 1204 
25400 826 
25500 -466 
25600 -774 
25700 -416 
25800 66 
25900 492 
26000 88 
26100 -1022 
26200 -250 
26300 724 
26400 1160 
26500 -62 
26600 -1538 
26700 -1096 
26800 -1146 
26900 96 
27000 1044 
27100 1294 
27200 974 
27300 226 
27400 -372 
27500 -610 
27600 -992 
27700 -1146 
27800 -450 
27900 994 
28000 1332 
28100 1268 
28200 1248 
28300 918 
28400 -66 
28500 -348 
28600 -1510 
28700 -1398 
28800 -1546 
28900 -900 
29000 162 
29100 1724 
29200 1778 
29300 1412 
29400 352 
29500 -454 
29600 -512 
29700 -1066 
29800 -1122 
29900 -256 
30000 604 
30100 1194 
30200 1440 
30300 1086 
30400 -182 
30500 -1198 
30600 -1828 
30700 -1094 
30800 -562 
30900 410 
31000 -106 
31100 940 
31200 0 
31300 114 
31400 60 
31500 -178 
31600 -494 
31700 -446 
31800 -350 
31900 296 
32000 288 
32100 538 
32200 94 
32300 -420 
32400 424 
32500 1118 
32600 -1200 
32700 -2470 
32800 -640 
32900 2472 
33000 4494 
33100 5422 
33200 4330 
33300 4154 
33400 2956 
33500 1174 
33600 2 
33700 -1116 
33800 -2692 
33900 -3368 
34000 -2172 
34100 -1052 
34200 -66 
34300 920 
34400 2120 
34500 1322 
34600 864 
34700 -168 
34800 -970 
34900 -1612 
35000 -472 
35100 872 
35200 1708 
35300 2020 
35400 1294 
35500 -350 
35600 -1176 
35700 -1758 
35800 -1946 
35900 -1878 
36000 -1298 
36100 192 
36200 354 
36300 1300 
36400 1722 
36500 318 
36600 -132 
36700 -886 
36800 -172 
36900 -754 
37000 -396 
37100 806 
37200 778 
37300 322 
37400 452 
37500 -278 
37600 -1062 
37700 -262 
37800 -306 
37900 -20 
38000 846 
38100 286 
38200 604 
38300 1092 
38400 226 
38500 -1008 
38600 -1580 
38700 -756 
38800 1156 
38900 1190 
39000 2152 
39100 1530 
39200 1468 
39300 752 
39400 -1016 
39500 -770 
39600 -998 
39700 -1356 
39800 -586 
39900 -256 
40000 66 
40100 364 
40200 344 
40300 1234 
40400 214 
40500 -490 
40600 -346 
40700 -798 
40800 -1016 
40900 -562 
41000 -130 
41100 316 
41200 638 
41300 -160 
41400 428 
41500 -312 
41600 -438 
41700 462 
41800 452 
41900 -614 
42000 -1184 
42100 354 
42200 1990 
42300 1280 
42400 -796 
42500 -2062 
42600 -1832 
42700 -1968 
42800 -1160 
42900 248 
43000 1588 
43100 2574 
43200 2338 
43300 1366 
43400 316 
43500 -914 
43600 -1208 
43700 -2310 
43800 -1020 
43900 -544 
44000 458 
44100 376 
44200 1162 
44300 876 
44400 -320 
44500 -110 
44600 -1298 
44700 -236 
44800 180 
44900 1304 
45000 1302 
45100 1078 
45200 564 
45300 -376 
45400 -1872 
45500 -1054 
45600 -490 
45700 648 
45800 1056 
45900 758 
46000 -278 
46100 -622 
46200 -462 
46300 -252 
46400 72 
46500 476 
46600 -320 
46700 440 
46800 582 
46900 1038 
47000 1158 
47100 -128 
47200 -754 
47300 -1210 
47400 -856 
47500 -458 
47600 1020 
47700 882 
47800 1174 
47900 1060 
48000 140 
48100 -994 
48200 -1552 
48300 -986 
48400 -356 
48500 84 
48600 494 
48700 -10 
48800 324 
48900 0 
49000 -798 
49100 56 
49200 1542 
49300 2230 
49400 1400 
49500 86 
49600 -1526 
49700 -3094 
49800 -3086 
49900 -3130 
50000 -1504 
50100 -708 
50200 1768 
50300 3170 
50400 3104 
50500 2652 
50600 1922 
50700 1304 
50800 1084 
50900 -216 
51000 -414 
51100 -1332 
51200 -1290 
51300 -858 
51400 224 
51500 948 
51600 1840 
51700 1072 
51800 40 
51900 452 
52000 -270 
52100 -1140 
52200 -670 
52300 -388 
52400 -374 
52500 232 
52600 954 
52700 392 
52800 570 
52900 1080 
53000 -166 
53100 -1702 
53200 -1938 
53300 -1184 
53400 648 
53500 1268 
53600 1818 
53700 1296 
53800 218 
53900 -960 
54000 -758 
54100 -928 
54200 -1112 
54300 -420 
54400 -570 
54500 -88 
54600 392 
54700 224 
54800 364 
54900 -28 
55000 -2 
55100 -308 
55200 1050 
55300 136 
55400 -238 
55500 -648 
55600 2146 
55700 1996 
55800 448 
55900 -478 
56000 -1612 
56100 -2134 
56200 -2368 
56300 -1332 
56400 -1268 
56500 -882 
56600 950 
56700 580 
56800 1116 
56900 -36 
57000 438 
57100 -306 
57200 -614 
57300 -984 
57400 378 
57500 1448 
57600 1136 
57700 1088 
57800 288 
57900 -482 
58000 -1048 
58100 -334 
58200 208 
58300 1570 
58400 1762 
58500 546 
58600 -348 
58700 -1970 
58800 -1662 
58900 -678 
59000 532 
59100 1530 
59200 1498 
59300 1502 
59400 108 
59500 -330 
59600 -522 
59700 -890 
59800 -1048 
59900 296 
60000 62 
60100 714 
60200 578 
60300 -48 
60400 14 
60500 -1094 
60600 -654 
60700 -190 
60800 596 
60900 438 
61000 536 
61100 234 
61200 -560 
61300 -542 
61400 594 
61500 836 
61600 380 
61700 392 
61800 -818 
61900 -1294 
62000 280 
62100 1630 
62200 1294 
62300 562 
62400 48 
62500 -1568 
62600 -1338 
62700 1398 
62800 2444 
62900 2390 
63000 814 
63100 -710 
63200 -2248 
63300 -1746 
63400 -474 
63500 -472 
63600 -500 
63700 456 
63800 536 
63900 224 
64000 -516 
64100 -1050 
64200 -264 
64300 490 
64400 34 
64500 -386 
64600 738 
64700 550 
64800 -732 
64900 -972 
65000 -6 
65100 638 
65200 630 
65300 254 
65400 348 
65500 -334 
65600 -532 
65700 978 
65800 566 
65900 -574 
66000 -318 
66100 1046 
66200 1030 
66300 96 
66400 -1758 
66500 -2612 
66600 -3260 
66700 -2394 
66800 -168 
66900 566 
67000 1328 
67100 1942 
67200 984 
67300 -190 
67400 -1520 
67500 -1224 
67600 -490 
67700 318 
67800 882 
67900 358 
68000 -552 
68100 -480 
68200 -614 
68300 268 
68400 876 
68500 498 
68600 302 
68700 -510 
68800 80 
68900 962 
69000 1282 
69100 158 
69200 -648 
69300 -1964 
69400 -1108 
69500 -684 
69600 634 
69700 1358 
69800 874 
69900 -792 
70000 -1616 
70100 -1294 
70200 -1810 
70300 -516 
70400 666 
70500 2216 
70600 506 
70700 44 
70800 -1688 
70900 -1464 
71000 -988 
71100 -394 
71200 518 
71300 1030 
71400 1082 
71500 130 
71600 -1230 
71700 -1048 
71800 -1598 
71900 -1082 
72000 -424 
72100 972 
72200 1908 
72300 624 
72400 -1432 
72500 -2452 
72600 -3114 
72700 -1392 
72800 -954 
72900 -416 
73000 186 
73100 580 
73200 798 
73300 -148 
73400 -676 
73500 -394 
73600 -270 
73700 -656 
73800 1296 
73900 870 
74000 1290 
74100 -614 
74200 -1224 
74300 -1250 
74400 -378 
74500 516 
74600 780 
74700 626 
74800 1166 
74900 1282 
75000 82 
